# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total acceleration (m/s²);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Air pressure (mbar)
0.01;-4.36e-4;-0.09;-8.73;8.73;0;0;0;994.47
0.02;-3.29e-4;-0.07;-6.58;6.58;0;0;0;994.47
0.03;-2.22e-4;-0.04;-4.44;4.44;0;0;0;994.47
0.04;-1.15e-4;-0.02;-2.29;2.29;0;0;0;994.47
0.05;4.03e-5;0.01;0.81;0.81;0;0;0;994.47
0.06;3.64e-4;0.06;4.86;4.86;0;0;0;994.47
0.07;0;0.15;8.92;8.92;0;0;0;994.47
0.08;0;0.28;12.98;12.98;0;0;0;994.47
0.09;0.01;0.45;17.04;17.04;0;0;0;994.47
0.1;0.01;0.66;21.1;21.1;0;0;0;994.47
0.11;0.02;0.91;25.16;25.16;0;0;0;994.47
0.12;0.03;1.2;29.42;29.42;0;0;0;994.47
0.13;0.04;1.56;35.45;35.45;0;0;0;994.46
0.14;0.06;1.98;41.91;41.91;0;0;0;994.46
0.15;0.08;2.46;48.37;48.37;0;0;0;994.46
0.16;0.11;3.01;54.84;54.84;0;0;0;994.46
0.17;0.15;3.62;61.32;61.32;0;0;0;994.45
0.18;0.18;4.3;67.8;67.8;0;0;0;994.45
0.19;0.23;5.04;74.29;74.29;0;0;0;994.44
0.2;0.29;5.85;80.78;80.78;0;0;0;994.44
0.21;0.35;6.72;87.27;87.27;0;0;0;994.43
0.22;0.42;7.63;90.92;90.92;0;0;0;994.42
0.23;0.5;8.49;86.29;86.29;0;0;0;994.41
0.24;0.59;9.3;81.13;81.13;0;0;0;994.4
0.25;0.69;10.06;75.96;75.96;0;0;0;994.39
0.26;0.79;10.77;70.8;70.8;0;0;0;994.38
0.27;0.89;11.38;65.82;65.82;0;0;0;994.37
0.28;1;11.91;61.13;61.13;0;0;0;994.36
0.29;1.1;12.39;56.67;56.67;0;0;0;994.35
0.3;1.26;13.05;52.6;52.67;0;1.81;7.51e-5;994.33
0.32;1.51;13.96;47.7;47.77;0;4.75;-9.44e-5;994.3
0.34;1.87;14.98;41.37;41.45;-6.22e-7;8.9;1.46e-4;994.26
0.37;2.22;15.82;36.64;36.72;0;13.02;-1.01e-4;994.22
0.39;2.57;16.54;33.34;33.41;0;17.14;1.35e-4;994.18
0.41;2.92;17.19;31.7;31.76;1.21e-6;21.22;6.21e-4;994.14
0.43;3.26;17.79;30.22;30.26;-2.82e-6;25.2;-3.55e-4;994.1
0.45;3.63;18.38;29.46;29.48;3.01e-6;29.16;1.59e-4;994.06
0.47;4.01;18.97;28.86;28.87;2.21e-6;33.09;-9.66e-5;994.01
0.49;4.42;19.57;28.25;28.25;2.7e-6;37;5.67e-4;993.97
0.51;4.87;20.19;27.69;27.71;-9E-06;40.84;-2.52e-4;993.92
0.54;5.37;20.87;27.37;27.44;-5.44e-6;44.56;-2.27e-4;993.86
0.57;5.99;21.65;26.96;27.16;7.43e-6;48.06;-8.35e-4;993.79
0.61;6.88;22.71;26.35;26.84;1.14e-6;50.68;0;993.69
0.66;8.05;24.01;25.74;26.85;5.67e-5;-50.19;-0.01;993.56
0.7;9.08;25.09;25.27;27;1.38e-5;-44.12;0;993.44
0.72;9.71;25.71;24.93;27.12;5.55e-6;-39.49;-7.71e-4;993.37
0.74;10.2;26.18;24.67;27.21;7.44e-6;-35.15;0;993.31
0.76;10.64;26.59;24.48;27.28;-5.47e-6;-30.92;5.56e-4;993.26
0.77;11.05;26.96;24.34;27.32;5.73e-6;-26.87;0;993.21
0.79;11.45;27.32;24.23;27.35;-5.15e-7;-22.83;0;993.17
0.8;11.85;27.67;24.14;27.38;1.07e-6;-18.8;-2.62e-4;993.12
0.82;12.25;28.02;24.07;27.4;1.64e-6;-14.77;0;993.08
0.83;12.65;28.36;24.02;27.4;4.33e-7;-10.77;0;993.03
0.85;13.05;28.7;23.99;27.4;-9.21e-7;-6.77;-4.96e-5;992.99
0.86;13.46;29.04;23.96;27.4;-5.46e-7;-2.78;-5.11e-5;992.94
0.87;13.87;29.37;23.95;27.39;0;1.24;6.1e-5;992.89
0.89;14.29;29.71;23.97;27.37;0;5.24;0;992.85
